T1, T2, T3, T4, T5, T6, T7
1.58825, 7.46477, -5.2472, 4.28638, -0.588924, -0.0345819, 0.0600474
1.68303, 7.32218, -5.17682, 4.28788, -0.58398, -0.034127, 0.0600309
1.95865, 7.14902, -5.02577, 4.26172, -0.575933, -0.0309641, 0.0599621
1.78253, 7.12119, -5.08897, 4.23012, -0.575518, -0.0291678, 0.0600179
1.64092, 7.16448, -5.13946, 4.12481, -0.573126, -0.0217784, 0.0600602
1.90419, 7.1812, -5.00428, 4.01871, -0.564072, -0.0149926, 0.0599944
1.90268, 6.98167, -4.97577, 4.04019, -0.561134, -0.0150875, 0.059999
1.85344, 6.88683, -4.98137, 3.99992, -0.558945, -0.0115873, 0.0600091
1.94373, 6.74137, -4.91957, 3.9943, -0.554923, -0.0102989, 0.0599796
1.83407, 6.54174, -4.93986, 4.02519, -0.553881, -0.0114054, 0.0600106
1.84598, 6.47389, -4.91491, 3.98529, -0.550196, -0.0081444, 0.0600048
2.00887, 6.432, -4.82541, 3.90257, -0.543541, -0.00208005, 0.0599591
1.83493, 6.38608, -4.88348, 3.86199, -0.542595, 0.000977822, 0.0600032
1.7755, 6.33594, -4.89573, 3.81617, -0.540608, 0.00432643, 0.0600078
1.99198, 6.31088, -4.77931, 3.74063, -0.532752, 0.00944501, 0.0599485
1.81095, 6.39419, -4.8425, 3.64068, -0.530364, 0.0154448, 0.0599965
1.66852, 6.4897, -4.89506, 3.53186, -0.52818, 0.0220892, 0.0600214
1.83573, 6.38177, -4.79899, 3.51456, -0.522504, 0.0233051, 0.0599676
1.6294, 6.20293, -4.86516, 3.53876, -0.523309, 0.022788, 0.0600064
1.57941, 6.01428, -4.86354, 3.54321, -0.521557, 0.0239855, 0.0600035
1.82355, 6.10599, -4.73931, 3.40732, -0.512086, 0.0323239, 0.0599301
1.63183, 6.0575, -4.80548, 3.36303, -0.511576, 0.0355985, 0.0599633
1.53239, 5.98607, -4.8253, 3.32717, -0.509142, 0.0384196, 0.0599757
1.76016, 5.76508, -4.7002, 3.33502, -0.503238, 0.0393152, 0.0598958
1.56786, 5.71529, -4.76891, 3.29957, -0.50332, 0.0416824, 0.0599193
1.25929, 5.61301, -4.8819, 3.2791, -0.504767, 0.0441552, 0.0599763
1.41231, 5.59391, -4.79277, 3.20723, -0.497807, 0.0485898, 0.0599183
1.56325, 5.56878, -4.70561, 3.16074, -0.491604, 0.0511407, 0.0598595
1.26197, 5.54632, -4.81875, 3.09073, -0.492076, 0.0564865, 0.0599116
1.15835, 5.5704, -4.8446, 3.00767, -0.488994, 0.0618405, 0.059914
