dq1, dq2, dq3, dq4, dq5, dq6, dq7
0.294541, 0.37501, -0.000355466, 0.342452, 2.38122e-05, 0.000474682, 1.91304e-05
0.292937, 0.374216, -0.000591307, 0.341743, 0.000170723, 2.34876e-05, 1.80767e-06
0.28991, 0.375199, -0.000422201, 0.340768, 6.49626e-05, 0.000804555, -1.25505e-05
0.288302, 0.375468, -0.00112139, 0.335725, -0.000227466, 0.000590102, 1.44597e-05
0.286008, 0.376381, -0.000950726, 0.335625, -0.000228935, -0.000152257, -1.36137e-05
0.284264, 0.376772, -0.000888462, 0.335975, -8.00872e-05, 0.000686645, 6.36992e-07
0.281822, 0.375985, -0.00140809, 0.334715, 0.000178058, 4.40009e-05, 1.36339e-05
0.277911, 0.374975, -0.00125128, 0.336593, 7.89042e-05, 0.000139626, -1.39796e-05
0.276491, 0.373153, -0.000774725, 0.336651, 3.49654e-05, 0.000202023, 1.38264e-05
0.275755, 0.373066, -0.000917234, 0.335268, 5.82001e-05, 5.6151e-05, -2.0564e-05
0.27298, 0.374482, -0.00174785, 0.329791, -1.6915e-05, 0.000211744, 4.22675e-06
0.270689, 0.37471, -0.00184898, 0.328564, -0.000156975, -2.62962e-05, 1.52246e-05
0.267478, 0.372822, -0.0014133, 0.335302, -0.000101596, 0.000328697, -2.66263e-05
0.26412, 0.372999, -0.00111345, 0.33373, 4.03905e-05, 0.000385914, 2.15738e-05
0.263146, 0.373252, -0.00181477, 0.327167, 0.000135363, 0.000471321, -3.79144e-06
0.2614, 0.373577, -0.00197874, 0.325406, 0.00017743, 0.000322306, -8.34985e-06
0.259378, 0.372867, -0.0020047, 0.325654, -4.95106e-05, 0.000209559, 1.63212e-05
0.256359, 0.371758, -0.0025167, 0.326464, -0.000128714, 1.27904e-05, 5.62804e-07
0.252219, 0.370513, -0.00249667, 0.324922, -0.000174483, 0.000265933, -1.31022e-05
0.250558, 0.36942, -0.00232096, 0.325713, 8.09126e-06, -6.23471e-05, 1.42152e-05
0.247573, 0.368182, -0.00240993, 0.326931, 1.42765e-05, 0.000105851, -7.05229e-06
0.24607, 0.368968, -0.00323684, 0.322592, 0.0001131, 0.00046066, -9.79486e-06
0.24224, 0.368863, -0.00298931, 0.316699, 5.0119e-05, 0.000184114, 1.56809e-05
0.240824, 0.368856, -0.00214552, 0.318399, 6.49153e-05, 0.000588791, -1.30725e-05
0.238668, 0.367845, -0.00259913, 0.319873, -6.7336e-05, 0.000494489, -5.79293e-06
0.235704, 0.368025, -0.00363434, 0.316161, -0.000200681, 0.000185754, 1.74543e-05
0.232134, 0.369098, -0.00410642, 0.313549, -2.48611e-05, 0.000429334, -1.89564e-05
0.228944, 0.367639, -0.00379509, 0.309989, 4.23798e-05, 0.000216957, 1.1621e-05
0.226303, 0.36774, -0.00382395, 0.311294, 7.21573e-05, 0.000182897, 1.18194e-05
0.223457, 0.365415, -0.00376334, 0.309931, 6.40097e-05, 0.000654973, -1.47837e-05
0.222243, 0.364545, -0.00378988, 0.310561, 2.83651e-05, 0.000390349, 6.80039e-06
0.21997, 0.363799, -0.00384168, 0.309552, -8.79293e-06, 0.000152957, 9.68323e-06
0.217494, 0.363689, -0.00434512, 0.308104, -6.79453e-05, 0.000661727, -1.57303e-05
0.213661, 0.362866, -0.00466165, 0.306602, -3.01091e-05, 3.29707e-05, 6.38091e-06
0.210955, 0.363256, -0.00440149, 0.3039, 1.86917e-05, 0.000461737, 9.49734e-06
0.207486, 0.363001, -0.00480008, 0.297832, 8.30228e-05, 0.000364771, -1.58127e-05
0.204808, 0.362468, -0.00458964, 0.300615, 4.7462e-05, -3.18875e-05, -1.36769e-05
0.202327, 0.36089, -0.00428951, 0.30339, -0.00014981, 0.000886805, 2.06303e-05
0.198691, 0.360311, -0.00499738, 0.299467, 8.35342e-06, 0.000252827, 2.47233e-06
0.196006, 0.359828, -0.00511085, 0.296094, -6.96985e-06, 0.000258856, 1.09558e-06
0.192006, 0.358125, -0.00551483, 0.294559, 6.09796e-05, 0.000334943, 7.15522e-06
0.191722, 0.357017, -0.00473287, 0.294707, 3.76939e-05, -0.000145212, -1.68506e-05
0.187879, 0.355672, -0.0057344, 0.29273, -3.66737e-05, 0.000542948, -7.97395e-07
0.186216, 0.355376, -0.00636509, 0.290065, 5.09165e-06, 0.000367398, -3.53355e-07
0.181495, 0.354584, -0.0121035, 0.29076, -2.97778e-05, -0.000110809, -6.82631e-06
0.179363, 0.354413, -0.0216404, 0.291355, -2.38672e-05, 0.000317938, 3.64473e-06
0.181868, 0.353691, -0.030518, 0.287594, 9.61974e-05, 0.000247666, 1.49667e-05
0.18145, 0.352656, -0.0400644, 0.283692, 8.53343e-05, 0.000303282, -1.3389e-05
0.18242, 0.352398, -0.0501142, 0.279073, -4.89084e-06, 0.000134395, 7.36554e-07
0.179025, 0.350582, -0.0600666, 0.278781, -0.000183681, 0.000199705, 1.3678e-05
0.178575, 0.348462, -0.0680072, 0.282643, 8.94462e-05, 0.000128539, -6.08496e-07
0.178563, 0.347042, -0.0723135, 0.279589, -6.71369e-05, 0.000804395, 6.40008e-06
